v1	I_1	P_1	I_2	P_2	I_3	P_3
0.000000000000000e+000	1.649998e-001	0.000000e+000	3.329996e-001	0.000000e+000	4.949994e-001	0.000000e+000
1.000000000000000e+001	1.640362e-001	1.640362e+000	3.320360e-001	3.320360e+000	4.940357e-001	4.940357e+000
2.000000000000000e+001	1.640012e-001	3.280023e+000	3.320008e-001	6.640016e+000	4.940005e-001	9.880009e+000
3.000000000000000e+001	1.639540e-001	4.918620e+000	3.319535e-001	9.958606e+000	4.939531e-001	1.481859e+001
4.000000000000000e+001	1.638898e-001	6.555593e+000	3.318892e-001	1.327557e+001	4.938886e-001	1.975554e+001
5.000000000000000e+001	1.638018e-001	8.190089e+000	3.318009e-001	1.659005e+001	4.938001e-001	2.469000e+001
6.000000000000000e+001	1.636802e-001	9.820812e+000	3.316790e-001	1.990074e+001	4.936778e-001	2.962067e+001
7.000000000000000e+001	1.635115e-001	1.144580e+001	3.315098e-001	2.320569e+001	4.935082e-001	3.454558e+001
8.000000000000000e+001	1.632766e-001	1.306213e+001	3.312742e-001	2.650194e+001	4.932720e-001	3.946176e+001
9.000000000000000e+001	1.629487e-001	1.466538e+001	3.309454e-001	2.978509e+001	4.929423e-001	4.436480e+001
1.000000000000000e+002	1.624901e-001	1.624901e+001	3.304856e-001	3.304856e+001	4.924812e-001	4.924812e+001
1.100000000000000e+002	1.618480e-001	1.780328e+001	3.298416e-001	3.628258e+001	4.918355e-001	5.410190e+001
1.200000000000000e+002	1.609481e-001	1.931378e+001	3.289392e-001	3.947270e+001	4.909306e-001	5.891167e+001
1.300000000000000e+002	1.596861e-001	2.075919e+001	3.276736e-001	4.259757e+001	4.896615e-001	6.365599e+001
1.400000000000000e+002	1.579154e-001	2.210816e+001	3.258978e-001	4.562569e+001	4.878808e-001	6.830332e+001
1.500000000000000e+002	1.554302e-001	2.331454e+001	3.234056e-001	4.851084e+001	4.853817e-001	7.280726e+001
1.600000000000000e+002	1.519417e-001	2.431067e+001	3.199070e-001	5.118513e+001	4.818736e-001	7.709977e+001
1.700000000000000e+002	1.470440e-001	2.499749e+001	3.149954e-001	5.354922e+001	4.769484e-001	8.108123e+001
1.800000000000000e+002	1.401680e-001	2.523023e+001	3.080997e-001	5.545795e+001	4.700337e-001	8.460607e+001
1.900000000000000e+002	1.305147e-001	2.479779e+001	2.984188e-001	5.669958e+001	4.603262e-001	8.746198e+001
2.000000000000000e+002	1.169640e-001	2.339281e+001	2.848295e-001	5.696591e+001	4.466995e-001	8.933989e+001
2.100000000000000e+002	9.794659e-002	2.056878e+001	2.657579e-001	5.580915e+001	4.275753e-001	8.979082e+001
2.200000000000000e+002	7.126553e-002	1.567842e+001	2.390008e-001	5.258018e+001	4.007448e-001	8.816386e+001
2.300000000000000e+002	3.385042e-002	7.785597e+000	2.014793e-001	4.634024e+001	3.631204e-001	8.351769e+001
2.400000000000000e+002	-1.858133e-002	-4.459518e+000	1.488988e-001	3.573571e+001	3.103961e-001	7.449506e+001
2.500000000000000e+002	-9.198586e-002	-2.299646e+001	7.528672e-002	1.882168e+001	2.365833e-001	5.914583e+001
2.600000000000000e+002	-1.946137e-001	-5.059955e+001	-2.762986e-002	-7.183765e+000	1.333875e-001	3.468076e+001
2.700000000000000e+002	-3.378295e-001	-9.121397e+001	-1.712461e-001	-4.623644e+001	-1.061575e-002	-2.866252e+000
2.800000000000000e+002	-5.371670e-001	-1.504067e+002	-3.711356e-001	-1.039180e+002	-2.110391e-001	-5.909094e+001
2.900000000000000e+002	-8.136304e-001	-2.359528e+002	-6.483551e-001	-1.880230e+002	-4.889895e-001	-1.418070e+002
3.000000000000000e+002	-1.195207e+000	-3.585620e+002	-1.030957e+000	-3.092870e+002	-8.725822e-001	-2.617747e+002
