v1	I(V2)
0.000000000000000e+000	3.919274e+000
1.000000000000000e-002	3.917077e+000
2.000000000000000e-002	3.914829e+000
3.000000000000000e-002	3.912529e+000
4.000000000000000e-002	3.910176e+000
5.000000000000000e-002	3.907771e+000
6.000000000000001e-002	3.905312e+000
7.000000000000001e-002	3.902798e+000
8.000000000000000e-002	3.900229e+000
9.000000000000000e-002	3.897605e+000
9.999999999999999e-002	3.894924e+000
1.100000000000000e-001	3.892186e+000
1.200000000000000e-001	3.889391e+000
1.300000000000000e-001	3.886537e+000
1.400000000000000e-001	3.883625e+000
1.500000000000000e-001	3.880654e+000
1.600000000000000e-001	3.877622e+000
1.700000000000000e-001	3.874531e+000
1.800000000000000e-001	3.871379e+000
1.900000000000000e-001	3.868166e+000
2.000000000000000e-001	3.864891e+000
2.100000000000001e-001	3.861554e+000
2.200000000000001e-001	3.858155e+000
2.300000000000001e-001	3.854694e+000
2.400000000000001e-001	3.851169e+000
2.500000000000001e-001	3.847581e+000
2.600000000000001e-001	3.843930e+000
2.700000000000001e-001	3.840215e+000
2.800000000000001e-001	3.836436e+000
2.900000000000001e-001	3.832592e+000
3.000000000000001e-001	3.828685e+000
3.100000000000001e-001	3.824713e+000
3.200000000000001e-001	3.820676e+000
3.300000000000001e-001	3.816576e+000
3.400000000000001e-001	3.812410e+000
3.500000000000001e-001	3.808180e+000
3.600000000000002e-001	3.803885e+000
3.700000000000002e-001	3.799526e+000
3.800000000000002e-001	3.795103e+000
3.900000000000002e-001	3.790615e+000
4.000000000000002e-001	3.786063e+000
4.100000000000002e-001	3.781447e+000
4.200000000000002e-001	3.776768e+000
4.300000000000002e-001	3.772025e+000
4.400000000000002e-001	3.767219e+000
4.500000000000002e-001	3.762350e+000
4.600000000000002e-001	3.757419e+000
4.700000000000003e-001	3.752426e+000
4.800000000000003e-001	3.747370e+000
4.900000000000003e-001	3.742254e+000
5.000000000000002e-001	3.737077e+000
5.100000000000002e-001	3.731839e+000
5.200000000000002e-001	3.726542e+000
5.300000000000003e-001	3.721185e+000
5.400000000000003e-001	3.715770e+000
5.500000000000003e-001	3.710296e+000
5.600000000000003e-001	3.704765e+000
5.700000000000003e-001	3.699177e+000
5.800000000000003e-001	3.693533e+000
5.900000000000003e-001	3.687833e+000
6.000000000000003e-001	3.682079e+000
6.100000000000003e-001	3.676270e+000
6.200000000000003e-001	3.670409e+000
6.300000000000003e-001	3.664495e+000
6.400000000000004e-001	3.658530e+000
6.500000000000004e-001	3.652514e+000
6.600000000000004e-001	3.646448e+000
6.700000000000004e-001	3.640333e+000
6.800000000000004e-001	3.634170e+000
6.900000000000004e-001	3.627959e+000
7.000000000000004e-001	3.621703e+000
7.100000000000004e-001	3.615402e+000
7.200000000000004e-001	3.609057e+000
7.300000000000004e-001	3.602668e+000
7.400000000000004e-001	3.596238e+000
