v4	Ix(x1:MINS)	Ix(x1:MINS)*v4	Ix(x2:MINS)	Ix(x2:MINS)*v4	Ix(x3:MINS)	Ix(x3:MINS)*v4
0.000000000000000e+000	1.599984e+000	0.000000e+000	3.099969e+000	0.000000e+000	5.099949e+000	0.000000e+000
1.000000000000000e-001	1.599956e+000	1.599956e-001	3.099941e+000	3.099941e-001	5.099921e+000	5.099921e-001
2.000000000000000e-001	1.599928e+000	3.199857e-001	3.099913e+000	6.199827e-001	5.099894e+000	1.019979e+000
3.000000000000000e-001	1.599901e+000	4.799702e-001	3.099886e+000	9.299657e-001	5.099865e+000	1.529960e+000
4.000000000000000e-001	1.599873e+000	6.399491e-001	3.099858e+000	1.239943e+000	5.099838e+000	2.039935e+000
5.000000000000000e-001	1.599845e+000	7.999225e-001	3.099830e+000	1.549915e+000	5.099810e+000	2.549905e+000
6.000000000000000e-001	1.599817e+000	9.598904e-001	3.099802e+000	1.859881e+000	5.099782e+000	3.059869e+000
7.000000000000000e-001	1.599790e+000	1.119853e+000	3.099774e+000	2.169842e+000	5.099754e+000	3.569828e+000
7.999999999999999e-001	1.599762e+000	1.279809e+000	3.099747e+000	2.479797e+000	5.099727e+000	4.079781e+000
8.999999999999999e-001	1.599734e+000	1.439761e+000	3.099719e+000	2.789747e+000	5.099699e+000	4.589729e+000
9.999999999999999e-001	1.599706e+000	1.599706e+000	3.099691e+000	3.099691e+000	5.099671e+000	5.099671e+000
1.100000000000000e+000	1.599678e+000	1.759646e+000	3.099663e+000	3.409630e+000	5.099643e+000	5.609608e+000
1.200000000000000e+000	1.599651e+000	1.919581e+000	3.099636e+000	3.719563e+000	5.099616e+000	6.119539e+000
1.300000000000000e+000	1.599623e+000	2.079510e+000	3.099608e+000	4.029490e+000	5.099588e+000	6.629464e+000
1.400000000000000e+000	1.599595e+000	2.239433e+000	3.099580e+000	4.339412e+000	5.099560e+000	7.139384e+000
1.500000000000000e+000	1.599567e+000	2.399351e+000	3.099552e+000	4.649328e+000	5.099532e+000	7.649298e+000
1.600000000000000e+000	1.599539e+000	2.559263e+000	3.099524e+000	4.959239e+000	5.099504e+000	8.159207e+000
1.700000000000000e+000	1.599512e+000	2.719170e+000	3.099497e+000	5.269144e+000	5.099476e+000	8.669110e+000
1.800000000000001e+000	1.599484e+000	2.879071e+000	3.099469e+000	5.579044e+000	5.099449e+000	9.179008e+000
