v1	I(V1)	I(V1)*V1
0.000000000000000e+000	1.329572e+001	0.000000e+000
1.000000000000000e+000	1.329497e+001	1.329497e+001
2.000000000000000e+000	1.329418e+001	2.658836e+001
3.000000000000000e+000	1.329332e+001	3.987996e+001
4.000000000000000e+000	1.329232e+001	5.316930e+001
5.000000000000000e+000	1.329104e+001	6.645522e+001
6.000000000000000e+000	1.328918e+001	7.973510e+001
7.000000000000000e+000	1.328614e+001	9.300296e+001
8.000000000000000e+000	1.328066e+001	1.062453e+002
9.000000000000000e+000	1.327022e+001	1.194320e+002
1.000000000000000e+001	1.324965e+001	1.324965e+002
1.100000000000000e+001	1.320843e+001	1.452927e+002
1.200000000000000e+001	1.312531e+001	1.575037e+002
1.300000000000000e+001	1.295797e+001	1.684536e+002
1.400000000000000e+001	1.262476e+001	1.767466e+002
1.500000000000000e+001	1.198067e+001	1.797100e+002
1.600000000000000e+001	1.084451e+001	1.735122e+002
1.700000000000000e+001	9.816643e+000	1.668829e+002
1.800000000000000e+001	9.796819e+000	1.763427e+002
1.900000000000000e+001	9.796519e+000	1.861339e+002
2.000000000000000e+001	9.796224e+000	1.959245e+002
2.100000000000000e+001	9.795927e+000	2.057145e+002
2.200000000000000e+001	9.795630e+000	2.155039e+002
2.300000000000000e+001	9.795334e+000	2.252927e+002
2.400000000000000e+001	9.795036e+000	2.350809e+002
2.500000000000000e+001	9.794739e+000	2.448685e+002
2.600000000000000e+001	9.794439e+000	2.546554e+002
2.700000000000000e+001	9.794140e+000	2.644418e+002
2.800000000000000e+001	9.793839e+000	2.742275e+002
2.900000000000000e+001	9.793537e+000	2.840126e+002
3.000000000000000e+001	9.793234e+000	2.937970e+002
3.100000000000000e+001	9.792929e+000	3.035808e+002
3.200000000000000e+001	9.792622e+000	3.133639e+002
3.300000000000000e+001	9.792313e+000	3.231463e+002
3.400000000000000e+001	9.792000e+000	3.329280e+002
3.500000000000000e+001	9.791683e+000	3.427089e+002
3.600000000000000e+001	9.791363e+000	3.524891e+002
3.700000000000000e+001	9.791038e+000	3.622684e+002
3.800000000000000e+001	9.790706e+000	3.720468e+002
3.900000000000000e+001	9.790367e+000	3.818243e+002
4.000000000000000e+001	9.790020e+000	3.916008e+002
4.100000000000000e+001	9.789661e+000	4.013761e+002
4.200000000000000e+001	9.789291e+000	4.111502e+002
4.300000000000000e+001	9.788906e+000	4.209230e+002
4.400000000000000e+001	9.788503e+000	4.306941e+002
4.500000000000000e+001	9.788078e+000	4.404635e+002
4.600000000000000e+001	9.787629e+000	4.502309e+002
4.700000000000000e+001	9.787148e+000	4.599960e+002
4.800000000000000e+001	9.786632e+000	4.697583e+002
4.900000000000000e+001	9.786072e+000	4.795175e+002
5.000000000000000e+001	9.785460e+000	4.892730e+002
5.100000000000000e+001	9.784785e+000	4.990240e+002
5.200000000000000e+001	9.784037e+000	5.087699e+002
5.300000000000000e+001	9.783199e+000	5.185096e+002
5.400000000000000e+001	9.782255e+000	5.282418e+002
5.500000000000000e+001	9.781183e+000	5.379651e+002
5.600000000000000e+001	9.779960e+000	5.476777e+002
5.700000000000000e+001	9.778555e+000	5.573776e+002
5.800000000000000e+001	9.776932e+000	5.670620e+002
5.900000000000000e+001	9.775048e+000	5.767278e+002
6.000000000000000e+001	9.772854e+000	5.863712e+002
6.100000000000000e+001	9.770288e+000	5.959876e+002
6.200000000000000e+001	9.767278e+000	6.055712e+002
6.300000000000000e+001	9.763735e+000	6.151153e+002
6.400000000000000e+001	9.759557e+000	6.246116e+002
6.500000000000000e+001	9.754620e+000	6.340503e+002
6.600000000000000e+001	9.748775e+000	6.434191e+002
6.700000000000000e+001	9.741844e+000	6.527036e+002
6.800000000000000e+001	9.733617e+000	6.618859e+002
6.900000000000000e+001	9.723841e+000	6.709450e+002
7.000000000000000e+001	9.712214e+000	6.798550e+002
7.100000000000000e+001	9.698378e+000	6.885848e+002
7.200000000000000e+001	9.681904e+000	6.970971e+002
7.300000000000000e+001	9.662281e+000	7.053465e+002
7.400000000000000e+001	9.638902e+000	7.132787e+002
7.500000000000000e+001	9.611045e+000	7.208284e+002
7.600000000000000e+001	9.577850e+000	7.279166e+002
7.700000000000000e+001	9.538301e+000	7.344491e+002
7.800000000000000e+001	9.491190e+000	7.403128e+002
7.900000000000000e+001	9.435092e+000	7.453723e+002
8.000000000000000e+001	9.368327e+000	7.494662e+002
8.100000000000000e+001	9.288919e+000	7.524025e+002
8.200000000000000e+001	9.194558e+000	7.539538e+002
8.300000000000000e+001	9.082550e+000	7.538517e+002
8.400000000000000e+001	8.949783e+000	7.517818e+002
8.500000000000000e+001	8.792697e+000	7.473792e+002
8.600000000000000e+001	8.607292e+000	7.402271e+002
8.700000000000000e+001	8.389240e+000	7.298639e+002
8.800000000000000e+001	8.134434e+000	7.158302e+002
8.900000000000000e+001	7.843876e+000	6.981050e+002
9.000000000000000e+001	7.749777e+000	6.974800e+002
9.100000000000000e+001	7.743046e+000	7.046172e+002
9.200000000000000e+001	7.735122e+000	7.116312e+002
9.300000000000000e+001	7.725780e+000	7.184975e+002
9.400000000000000e+001	7.714754e+000	7.251868e+002
9.500000000000000e+001	7.701727e+000	7.316641e+002
9.600000000000000e+001	7.686327e+000	7.378874e+002
9.700000000000000e+001	7.668114e+000	7.438071e+002
9.800000000000000e+001	7.646572e+000	7.493641e+002
9.900000000000000e+001	7.621090e+000	7.544880e+002
1.000000000000000e+002	7.590951e+000	7.590951e+002
1.010000000000000e+002	7.555304e+000	7.630857e+002
1.020000000000000e+002	7.513133e+000	7.663396e+002
1.030000000000000e+002	7.463202e+000	7.687098e+002
1.040000000000000e+002	7.403959e+000	7.700117e+002
1.050000000000000e+002	7.333368e+000	7.700037e+002
1.060000000000000e+002	7.248601e+000	7.683517e+002
1.070000000000000e+002	7.145515e+000	7.645701e+002
1.080000000000000e+002	7.017917e+000	7.579351e+002
1.090000000000000e+002	6.856933e+000	7.474057e+002
1.100000000000000e+002	6.651355e+000	7.316490e+002
1.110000000000000e+002	6.389682e+000	7.092547e+002
1.120000000000000e+002	6.062649e+000	6.790167e+002
1.130000000000000e+002	5.664038e+000	6.400363e+002
1.140000000000000e+002	5.189838e+000	5.916415e+002
1.150000000000000e+002	4.637868e+000	5.333549e+002
1.160000000000000e+002	4.012271e+000	4.654234e+002
1.170000000000000e+002	3.460162e+000	4.048390e+002
1.180000000000000e+002	3.115497e+000	3.676286e+002
1.190000000000000e+002	3.046294e+000	3.625090e+002
1.200000000000000e+002	3.025446e+000	3.630535e+002
1.210000000000000e+002	3.001614e+000	3.631953e+002
1.220000000000000e+002	2.974373e+000	3.628735e+002
1.230000000000000e+002	2.943256e+000	3.620205e+002
1.240000000000000e+002	2.907742e+000	3.605600e+002
1.250000000000000e+002	2.867245e+000	3.584056e+002
1.260000000000000e+002	2.821117e+000	3.554608e+002
1.270000000000000e+002	2.768638e+000	3.516170e+002
1.280000000000000e+002	2.709012e+000	3.467535e+002
1.290000000000000e+002	2.641363e+000	3.407358e+002
