v4	I(V4)	I(V4)*V4
0.000000000000000e+000	1.529466e+001	0.000000e+000
1.000000000000000e+000	1.529389e+001	1.529389e+001
2.000000000000000e+000	1.529300e+001	3.058599e+001
3.000000000000000e+000	1.529186e+001	4.587557e+001
4.000000000000000e+000	1.529022e+001	6.116087e+001
5.000000000000000e+000	1.528755e+001	7.643777e+001
6.000000000000000e+000	1.528279e+001	9.169677e+001
7.000000000000000e+000	1.527376e+001	1.069163e+002
8.000000000000000e+000	1.525600e+001	1.220480e+002
9.000000000000000e+000	1.522051e+001	1.369846e+002
1.000000000000000e+001	1.514919e+001	1.514919e+002
1.100000000000000e+001	1.500645e+001	1.650710e+002
1.200000000000000e+001	1.472542e+001	1.767050e+002
1.300000000000000e+001	1.419518e+001	1.845373e+002
1.400000000000000e+001	1.336743e+001	1.871440e+002
1.500000000000000e+001	1.329078e+001	1.993617e+002
1.600000000000000e+001	1.328979e+001	2.126367e+002
1.700000000000000e+001	1.328860e+001	2.259062e+002
1.800000000000000e+001	1.328712e+001	2.391682e+002
1.900000000000000e+001	1.328523e+001	2.524193e+002
2.000000000000000e+001	1.328274e+001	2.656548e+002
2.100000000000000e+001	1.327940e+001	2.788674e+002
2.200000000000000e+001	1.327485e+001	2.920467e+002
2.300000000000000e+001	1.326857e+001	3.051771e+002
2.400000000000000e+001	1.325981e+001	3.182353e+002
2.500000000000000e+001	1.324750e+001	3.311875e+002
2.600000000000000e+001	1.323013e+001	3.439834e+002
2.700000000000000e+001	1.320553e+001	3.565494e+002
2.800000000000000e+001	1.317063e+001	3.687776e+002
2.900000000000000e+001	1.312103e+001	3.805098e+002
3.000000000000000e+001	1.305052e+001	3.915157e+002
3.100000000000000e+001	1.295035e+001	4.014608e+002
3.200000000000000e+001	1.280822e+001	4.098630e+002
3.300000000000000e+001	1.260705e+001	4.160328e+002
3.400000000000000e+001	1.232349e+001	4.189986e+002
3.500000000000000e+001	1.192631e+001	4.174208e+002
3.600000000000000e+001	1.137571e+001	4.095255e+002
3.700000000000000e+001	1.062648e+001	3.931797e+002
3.800000000000000e+001	9.654072e+000	3.668547e+002
3.900000000000000e+001	8.740496e+000	3.408793e+002
4.000000000000000e+001	8.003548e+000	3.201419e+002
4.100000000000000e+001	7.792002e+000	3.194721e+002
4.200000000000000e+001	7.790771e+000	3.272124e+002
4.300000000000000e+001	7.789814e+000	3.349620e+002
4.400000000000000e+001	7.788604e+000	3.426986e+002
4.500000000000000e+001	7.787030e+000	3.504163e+002
4.600000000000000e+001	7.784936e+000	3.581071e+002
4.700000000000000e+001	7.782102e+000	3.657588e+002
4.800000000000000e+001	7.778211e+000	3.733541e+002
4.900000000000000e+001	7.772815e+000	3.808679e+002
5.000000000000000e+001	7.765280e+000	3.882640e+002
5.100000000000000e+001	7.754715e+000	3.954905e+002
5.200000000000000e+001	7.739870e+000	4.024732e+002
5.300000000000000e+001	7.719012e+000	4.091076e+002
5.400000000000000e+001	7.689766e+000	4.152474e+002
5.500000000000000e+001	7.648926e+000	4.206909e+002
5.600000000000000e+001	7.592254e+000	4.251662e+002
5.700000000000000e+001	7.514287e+000	4.283144e+002
5.800000000000000e+001	7.408204e+000	4.296758e+002
5.900000000000000e+001	7.265779e+000	4.286809e+002
6.000000000000000e+001	7.077497e+000	4.246498e+002
6.100000000000000e+001	6.832895e+000	4.168066e+002
6.200000000000000e+001	6.521354e+000	4.043239e+002
6.300000000000000e+001	6.134023e+000	3.864435e+002
6.400000000000000e+001	5.669507e+000	3.628484e+002
6.500000000000000e+001	5.155803e+000	3.351272e+002
6.600000000000000e+001	4.758254e+000	3.140447e+002
6.700000000000000e+001	4.691725e+000	3.143456e+002
6.800000000000000e+001	4.690152e+000	3.189303e+002
6.900000000000000e+001	4.689875e+000	3.236014e+002
7.000000000000000e+001	4.689615e+000	3.282731e+002
7.100000000000000e+001	4.689355e+000	3.329442e+002
7.200000000000000e+001	4.689095e+000	3.376148e+002
7.300000000000000e+001	4.688833e+000	3.422848e+002
7.400000000000000e+001	4.688570e+000	3.469542e+002
7.500000000000000e+001	4.688306e+000	3.516230e+002
7.600000000000000e+001	4.688041e+000	3.562911e+002
7.700000000000000e+001	4.687773e+000	3.609585e+002
7.800000000000000e+001	4.687504e+000	3.656253e+002
7.900000000000000e+001	4.687232e+000	3.702913e+002
8.000000000000000e+001	4.686956e+000	3.749565e+002
8.100000000000000e+001	4.686677e+000	3.796208e+002
8.200000000000000e+001	4.686394e+000	3.842843e+002
8.300000000000000e+001	4.686105e+000	3.889467e+002
8.400000000000000e+001	4.685810e+000	3.936080e+002
8.500000000000000e+001	4.685507e+000	3.982681e+002
8.600000000000000e+001	4.685195e+000	4.029268e+002
8.700000000000000e+001	4.684873e+000	4.075839e+002
8.800000000000000e+001	4.684538e+000	4.122393e+002
8.900000000000000e+001	4.684187e+000	4.168927e+002
9.000000000000000e+001	4.683819e+000	4.215437e+002
9.100000000000000e+001	4.683429e+000	4.261920e+002
9.200000000000000e+001	4.683013e+000	4.308372e+002
9.300000000000000e+001	4.682566e+000	4.354787e+002
9.400000000000000e+001	4.682082e+000	4.401157e+002
9.500000000000000e+001	4.681555e+000	4.447477e+002
9.600000000000000e+001	4.680975e+000	4.493736e+002
9.700000000000000e+001	4.680333e+000	4.539923e+002
9.800000000000000e+001	4.679616e+000	4.586024e+002
9.900000000000000e+001	4.678811e+000	4.632023e+002
1.000000000000000e+002	4.677900e+000	4.677900e+002
1.010000000000000e+002	4.676862e+000	4.723630e+002
1.020000000000000e+002	4.675673e+000	4.769186e+002
1.030000000000000e+002	4.674304e+000	4.814534e+002
1.040000000000000e+002	4.672721e+000	4.859630e+002
1.050000000000000e+002	4.670882e+000	4.904426e+002
1.060000000000000e+002	4.668738e+000	4.948863e+002
1.070000000000000e+002	4.666231e+000	4.992867e+002
1.080000000000000e+002	4.663291e+000	5.036354e+002
1.090000000000000e+002	4.659834e+000	5.079219e+002
1.100000000000000e+002	4.655765e+000	5.121342e+002
1.110000000000000e+002	4.650966e+000	5.162572e+002
1.120000000000000e+002	4.645298e+000	5.202734e+002
1.130000000000000e+002	4.638601e+000	5.241619e+002
1.140000000000000e+002	4.630682e+000	5.278977e+002
1.150000000000000e+002	4.621315e+000	5.314512e+002
1.160000000000000e+002	4.610235e+000	5.347873e+002
1.170000000000000e+002	4.597132e+000	5.378645e+002
1.180000000000000e+002	4.581645e+000	5.406342e+002
1.190000000000000e+002	4.563354e+000	5.430391e+002
1.200000000000000e+002	4.541774e+000	5.450129e+002
1.210000000000000e+002	4.516347e+000	5.464780e+002
1.220000000000000e+002	4.486437e+000	5.473454e+002
1.230000000000000e+002	4.451321e+000	5.475125e+002
1.240000000000000e+002	4.410183e+000	5.468627e+002
1.250000000000000e+002	4.362111e+000	5.452638e+002
1.260000000000000e+002	4.306092e+000	5.425676e+002
1.270000000000000e+002	4.241013e+000	5.386086e+002
1.280000000000000e+002	4.165659e+000	5.332043e+002
1.290000000000000e+002	4.078722e+000	5.261551e+002
1.300000000000000e+002	3.978807e+000	5.172449e+002
1.310000000000000e+002	3.864459e+000	5.062441e+002
1.320000000000000e+002	3.734211e+000	4.929159e+002
1.330000000000000e+002	3.586714e+000	4.770329e+002
1.340000000000000e+002	3.421156e+000	4.584350e+002
1.350000000000000e+002	3.239797e+000	4.373725e+002
1.360000000000000e+002	3.126461e+000	4.251987e+002
1.370000000000000e+002	3.118043e+000	4.271719e+002
1.380000000000000e+002	3.108417e+000	4.289616e+002
1.390000000000000e+002	3.097394e+000	4.305378e+002
1.400000000000000e+002	3.084769e+000	4.318676e+002
1.410000000000000e+002	3.070309e+000	4.329136e+002
