v1	I(V2)
0.000000000000000e+000	3.884256e+000
1.000000000000000e-002	3.881218e+000
2.000000000000000e-002	3.878115e+000
3.000000000000000e-002	3.874947e+000
4.000000000000000e-002	3.871713e+000
5.000000000000000e-002	3.868411e+000
6.000000000000001e-002	3.865041e+000
7.000000000000001e-002	3.861604e+000
8.000000000000000e-002	3.858097e+000
9.000000000000000e-002	3.854521e+000
9.999999999999999e-002	3.850875e+000
1.100000000000000e-001	3.847158e+000
1.200000000000000e-001	3.843370e+000
1.300000000000000e-001	3.839510e+000
1.400000000000000e-001	3.835579e+000
1.500000000000000e-001	3.831574e+000
1.600000000000000e-001	3.827497e+000
1.700000000000000e-001	3.823346e+000
1.800000000000000e-001	3.819122e+000
1.900000000000000e-001	3.814823e+000
2.000000000000000e-001	3.810450e+000
2.100000000000001e-001	3.806003e+000
2.200000000000001e-001	3.801480e+000
2.300000000000001e-001	3.796882e+000
2.400000000000001e-001	3.792209e+000
2.500000000000001e-001	3.787460e+000
2.600000000000001e-001	3.782636e+000
2.700000000000001e-001	3.777736e+000
2.800000000000001e-001	3.772760e+000
2.900000000000001e-001	3.767708e+000
3.000000000000001e-001	3.762580e+000
3.100000000000001e-001	3.757376e+000
3.200000000000001e-001	3.752096e+000
3.300000000000001e-001	3.746740e+000
3.400000000000001e-001	3.741308e+000
3.500000000000001e-001	3.735801e+000
3.600000000000002e-001	3.730218e+000
3.700000000000002e-001	3.724560e+000
3.800000000000002e-001	3.718826e+000
3.900000000000002e-001	3.713017e+000
4.000000000000002e-001	3.707134e+000
4.100000000000002e-001	3.701176e+000
4.200000000000002e-001	3.695144e+000
4.300000000000002e-001	3.689038e+000
4.400000000000002e-001	3.682858e+000
4.500000000000002e-001	3.676605e+000
4.600000000000002e-001	3.670279e+000
4.700000000000003e-001	3.663881e+000
4.800000000000003e-001	3.657410e+000
4.900000000000003e-001	3.650868e+000
5.000000000000002e-001	3.644255e+000
5.100000000000002e-001	3.637571e+000
5.200000000000002e-001	3.630817e+000
5.300000000000003e-001	3.623993e+000
5.400000000000003e-001	3.617100e+000
5.500000000000003e-001	3.610139e+000
5.600000000000003e-001	3.603109e+000
5.700000000000003e-001	3.596012e+000
5.800000000000003e-001	3.588848e+000
5.900000000000003e-001	3.581618e+000
6.000000000000003e-001	3.574322e+000
6.100000000000003e-001	3.566961e+000
6.200000000000003e-001	3.559536e+000
6.300000000000003e-001	3.552047e+000
6.400000000000004e-001	3.544495e+000
6.500000000000004e-001	3.536880e+000
6.600000000000004e-001	3.529204e+000
6.700000000000004e-001	3.521466e+000
6.800000000000004e-001	3.513669e+000
6.900000000000004e-001	3.505811e+000
7.000000000000004e-001	3.497895e+000
7.100000000000004e-001	3.489921e+000
7.200000000000004e-001	3.481889e+000
7.300000000000004e-001	3.473801e+000
7.400000000000004e-001	3.465656e+000
7.500000000000004e-001	3.457457e+000
7.600000000000005e-001	3.449203e+000
7.700000000000005e-001	3.440895e+000
7.800000000000005e-001	3.432534e+000
7.900000000000005e-001	3.424121e+000
8.000000000000005e-001	3.415657e+000
8.100000000000005e-001	3.407142e+000
8.200000000000005e-001	3.398578e+000
8.300000000000005e-001	3.389964e+000
8.400000000000005e-001	3.381302e+000
8.500000000000005e-001	3.372593e+000
8.600000000000005e-001	3.363837e+000
8.700000000000006e-001	3.355035e+000
8.800000000000006e-001	3.346188e+000
8.900000000000006e-001	3.337297e+000
9.000000000000006e-001	3.328362e+000
9.100000000000006e-001	3.319385e+000
9.200000000000006e-001	3.310366e+000
9.300000000000006e-001	3.301306e+000
9.400000000000006e-001	3.292205e+000
9.500000000000006e-001	3.283065e+000
9.600000000000006e-001	3.273887e+000
9.700000000000006e-001	3.264670e+000
9.800000000000007e-001	3.255417e+000
9.900000000000007e-001	3.246127e+000
1.000000000000001e+000	3.236802e+000
1.010000000000001e+000	3.227442e+000
1.020000000000001e+000	3.218048e+000
1.030000000000001e+000	3.208622e+000
1.040000000000001e+000	3.199162e+000
1.050000000000001e+000	3.189672e+000
1.060000000000001e+000	3.180151e+000
1.070000000000001e+000	3.170601e+000
1.080000000000001e+000	3.161021e+000
1.090000000000001e+000	3.151413e+000
1.100000000000001e+000	3.141778e+000
1.110000000000001e+000	3.132116e+000
1.120000000000001e+000	3.122428e+000
1.130000000000001e+000	3.112716e+000
1.140000000000001e+000	3.102979e+000
1.150000000000001e+000	3.093220e+000
1.160000000000001e+000	3.083437e+000
1.170000000000001e+000	3.073633e+000
1.180000000000001e+000	3.063808e+000
1.190000000000001e+000	3.053963e+000
1.200000000000001e+000	3.044098e+000
1.210000000000001e+000	3.034215e+000
1.220000000000001e+000	3.024315e+000
1.230000000000001e+000	3.014398e+000
1.240000000000001e+000	3.004465e+000
1.250000000000001e+000	2.994516e+000
1.260000000000001e+000	2.984554e+000
1.270000000000001e+000	2.974578e+000
1.280000000000001e+000	2.964589e+000
1.290000000000001e+000	2.954588e+000
1.300000000000001e+000	2.944577e+000
1.310000000000001e+000	2.934555e+000
1.320000000000001e+000	2.924524e+000
1.330000000000001e+000	2.914485e+000
1.340000000000001e+000	2.904438e+000
1.350000000000001e+000	2.894385e+000
1.360000000000001e+000	2.884325e+000
1.370000000000001e+000	2.874261e+000
1.380000000000001e+000	2.864192e+000
1.390000000000001e+000	2.854120e+000
1.400000000000001e+000	2.844046e+000
1.410000000000001e+000	2.833971e+000
1.420000000000001e+000	2.823895e+000
1.430000000000001e+000	2.813819e+000
1.440000000000001e+000	2.803745e+000
1.450000000000001e+000	2.793673e+000
1.460000000000001e+000	2.783604e+000
1.470000000000001e+000	2.773539e+000
1.480000000000001e+000	2.763479e+000
1.490000000000001e+000	2.753426e+000
1.500000000000001e+000	2.743379e+000
1.510000000000001e+000	2.733340e+000
1.520000000000001e+000	2.723310e+000
1.530000000000001e+000	2.713290e+000
1.540000000000001e+000	2.703281e+000
1.550000000000001e+000	2.693285e+000
1.560000000000001e+000	2.683301e+000
1.570000000000001e+000	2.673331e+000
1.580000000000001e+000	2.663377e+000
1.590000000000001e+000	2.653438e+000
1.600000000000001e+000	2.643517e+000
1.610000000000001e+000	2.633615e+000
1.620000000000001e+000	2.623732e+000
1.630000000000001e+000	2.613870e+000
1.640000000000001e+000	2.604030e+000
1.650000000000001e+000	2.594213e+000
1.660000000000001e+000	2.584420e+000
1.670000000000001e+000	2.574653e+000
1.680000000000001e+000	2.564913e+000
1.690000000000001e+000	2.555201e+000
1.700000000000001e+000	2.545518e+000
1.710000000000001e+000	2.535866e+000
1.720000000000001e+000	2.526246e+000
1.730000000000001e+000	2.516659e+000
1.740000000000001e+000	2.507107e+000
1.750000000000001e+000	2.497592e+000
1.760000000000001e+000	2.488114e+000
1.770000000000001e+000	2.478675e+000
1.780000000000001e+000	2.469276e+000
1.790000000000001e+000	2.459920e+000
1.800000000000001e+000	2.450608e+000
1.810000000000001e+000	2.441341e+000
1.820000000000001e+000	2.432121e+000
1.830000000000001e+000	2.422949e+000
1.840000000000001e+000	2.413828e+000
1.850000000000001e+000	2.404759e+000
1.860000000000001e+000	2.395744e+000
1.870000000000001e+000	2.386784e+000
1.880000000000001e+000	2.377882e+000
1.890000000000002e+000	2.369040e+000
1.900000000000002e+000	2.360258e+000
1.910000000000002e+000	2.351540e+000
1.920000000000002e+000	2.342887e+000
1.930000000000002e+000	2.334301e+000
1.940000000000002e+000	2.325785e+000
1.950000000000002e+000	2.317341e+000
1.960000000000002e+000	2.308970e+000
1.970000000000002e+000	2.300675e+000
1.980000000000002e+000	2.292458e+000
1.990000000000002e+000	2.284321e+000
2.000000000000001e+000	2.276268e+000
2.010000000000001e+000	2.268299e+000
2.020000000000001e+000	2.260418e+000
2.030000000000001e+000	2.252627e+000
2.040000000000001e+000	2.244928e+000
2.050000000000000e+000	2.237324e+000
2.060000000000000e+000	2.229818e+000
2.070000000000000e+000	2.222412e+000
2.080000000000000e+000	2.215108e+000
2.089999999999999e+000	2.207909e+000
2.099999999999999e+000	2.200819e+000
2.109999999999999e+000	2.193838e+000
2.119999999999999e+000	2.186970e+000
2.129999999999999e+000	2.180218e+000
2.139999999999998e+000	2.173584e+000
2.149999999999998e+000	2.167070e+000
2.159999999999998e+000	2.160679e+000
2.169999999999998e+000	2.154413e+000
2.179999999999998e+000	2.148276e+000
2.189999999999997e+000	2.142268e+000
2.199999999999997e+000	2.136393e+000
2.209999999999997e+000	2.130651e+000
2.219999999999997e+000	2.125047e+000
2.229999999999996e+000	2.119580e+000
2.239999999999996e+000	2.114254e+000
2.249999999999996e+000	2.109069e+000
2.259999999999996e+000	2.104027e+000
2.269999999999996e+000	2.099128e+000
2.279999999999995e+000	2.094375e+000
2.289999999999995e+000	2.089768e+000
2.299999999999995e+000	2.085307e+000
2.309999999999995e+000	2.080993e+000
2.319999999999995e+000	2.076826e+000
2.329999999999994e+000	2.072805e+000
2.339999999999994e+000	2.068930e+000
2.349999999999994e+000	2.065201e+000
2.359999999999994e+000	2.061616e+000
2.369999999999993e+000	2.058174e+000
2.379999999999993e+000	2.054873e+000
2.389999999999993e+000	2.051713e+000
2.399999999999993e+000	2.048689e+000
2.409999999999993e+000	2.045801e+000
2.419999999999992e+000	2.043045e+000
2.429999999999992e+000	2.040419e+000
2.439999999999992e+000	2.037920e+000
2.449999999999992e+000	2.035544e+000
2.459999999999992e+000	2.033288e+000
2.469999999999991e+000	2.031149e+000
2.479999999999991e+000	2.029122e+000
2.489999999999991e+000	2.027205e+000
2.499999999999991e+000	2.025393e+000
2.509999999999991e+000	2.023681e+000
2.519999999999990e+000	2.022068e+000
2.529999999999990e+000	2.020547e+000
2.539999999999990e+000	2.019116e+000
2.549999999999990e+000	2.017770e+000
2.559999999999989e+000	2.016505e+000
2.569999999999989e+000	2.015317e+000
2.579999999999989e+000	2.014204e+000
2.589999999999989e+000	2.013160e+000
2.599999999999989e+000	2.012182e+000
2.609999999999988e+000	2.011267e+000
2.619999999999988e+000	2.010412e+000
2.629999999999988e+000	2.009612e+000
2.639999999999988e+000	2.008864e+000
2.649999999999988e+000	2.008167e+000
2.659999999999987e+000	2.007516e+000
2.669999999999987e+000	2.006909e+000
2.679999999999987e+000	2.006343e+000
