v1	I(V2)	Ix(x2:VF0)
0.000000000000000e+000	3.903277e+000	3.903277e+000
1.000000000000000e-002	3.901991e+000	3.901991e+000
2.000000000000000e-002	3.900690e+000	3.900690e+000
3.000000000000000e-002	3.899375e+000	3.899375e+000
4.000000000000000e-002	3.898046e+000	3.898046e+000
5.000000000000000e-002	3.896702e+000	3.896702e+000
6.000000000000001e-002	3.895344e+000	3.895344e+000
7.000000000000001e-002	3.893970e+000	3.893970e+000
8.000000000000000e-002	3.892582e+000	3.892582e+000
9.000000000000000e-002	3.891179e+000	3.891179e+000
9.999999999999999e-002	3.889761e+000	3.889761e+000
1.100000000000000e-001	3.888328e+000	3.888328e+000
1.200000000000000e-001	3.886879e+000	3.886879e+000
1.300000000000000e-001	3.885416e+000	3.885416e+000
1.400000000000000e-001	3.883937e+000	3.883937e+000
1.500000000000000e-001	3.882442e+000	3.882442e+000
1.600000000000000e-001	3.880932e+000	3.880932e+000
1.700000000000000e-001	3.879407e+000	3.879407e+000
1.800000000000000e-001	3.877866e+000	3.877866e+000
1.900000000000000e-001	3.876309e+000	3.876309e+000
2.000000000000000e-001	3.874736e+000	3.874736e+000
2.100000000000001e-001	3.873148e+000	3.873148e+000
2.200000000000001e-001	3.871543e+000	3.871543e+000
2.300000000000001e-001	3.869923e+000	3.869923e+000
2.400000000000001e-001	3.868287e+000	3.868287e+000
2.500000000000001e-001	3.866634e+000	3.866634e+000
2.600000000000001e-001	3.864965e+000	3.864965e+000
2.700000000000001e-001	3.863280e+000	3.863280e+000
2.800000000000001e-001	3.861579e+000	3.861579e+000
2.900000000000001e-001	3.859861e+000	3.859861e+000
3.000000000000001e-001	3.858127e+000	3.858127e+000
3.100000000000001e-001	3.856376e+000	3.856376e+000
3.200000000000001e-001	3.854609e+000	3.854609e+000
3.300000000000001e-001	3.852825e+000	3.852825e+000
3.400000000000001e-001	3.851025e+000	3.851025e+000
3.500000000000001e-001	3.849207e+000	3.849207e+000
3.600000000000002e-001	3.847373e+000	3.847373e+000
3.700000000000002e-001	3.845523e+000	3.845523e+000
3.800000000000002e-001	3.843655e+000	3.843655e+000
3.900000000000002e-001	3.841771e+000	3.841771e+000
4.000000000000002e-001	3.839869e+000	3.839869e+000
4.100000000000002e-001	3.837951e+000	3.837951e+000
4.200000000000002e-001	3.836015e+000	3.836015e+000
4.300000000000002e-001	3.834063e+000	3.834063e+000
4.400000000000002e-001	3.832093e+000	3.832093e+000
4.500000000000002e-001	3.830107e+000	3.830107e+000
4.600000000000002e-001	3.828103e+000	3.828103e+000
4.700000000000003e-001	3.826082e+000	3.826082e+000
4.800000000000003e-001	3.824044e+000	3.824044e+000
4.900000000000003e-001	3.821989e+000	3.821989e+000
5.000000000000002e-001	3.819916e+000	3.819916e+000
5.100000000000002e-001	3.817826e+000	3.817826e+000
5.200000000000002e-001	3.815719e+000	3.815719e+000
5.300000000000003e-001	3.813594e+000	3.813594e+000
5.400000000000003e-001	3.811452e+000	3.811452e+000
5.500000000000003e-001	3.809293e+000	3.809293e+000
5.600000000000003e-001	3.807117e+000	3.807117e+000
5.700000000000003e-001	3.804923e+000	3.804923e+000
5.800000000000003e-001	3.802712e+000	3.802712e+000
5.900000000000003e-001	3.800483e+000	3.800483e+000
6.000000000000003e-001	3.798237e+000	3.798237e+000
6.100000000000003e-001	3.795974e+000	3.795974e+000
6.200000000000003e-001	3.793693e+000	3.793693e+000
6.300000000000003e-001	3.791394e+000	3.791394e+000
6.400000000000004e-001	3.789079e+000	3.789079e+000
6.500000000000004e-001	3.786746e+000	3.786746e+000
6.600000000000004e-001	3.784395e+000	3.784395e+000
6.700000000000004e-001	3.782028e+000	3.782028e+000
6.800000000000004e-001	3.779643e+000	3.779643e+000
6.900000000000004e-001	3.777240e+000	3.777240e+000
7.000000000000004e-001	3.774820e+000	3.774820e+000
7.100000000000004e-001	3.772383e+000	3.772383e+000
7.200000000000004e-001	3.769929e+000	3.769929e+000
7.300000000000004e-001	3.767457e+000	3.767457e+000
7.400000000000004e-001	3.764968e+000	3.764968e+000
7.500000000000004e-001	3.762462e+000	3.762462e+000
7.600000000000005e-001	3.759939e+000	3.759939e+000
7.700000000000005e-001	3.757398e+000	3.757398e+000
7.800000000000005e-001	3.754840e+000	3.754840e+000
7.900000000000005e-001	3.752265e+000	3.752265e+000
8.000000000000005e-001	3.749673e+000	3.749673e+000
8.100000000000005e-001	3.747064e+000	3.747064e+000
8.200000000000005e-001	3.744438e+000	3.744438e+000
8.300000000000005e-001	3.741795e+000	3.741795e+000
8.400000000000005e-001	3.739135e+000	3.739135e+000
8.500000000000005e-001	3.736458e+000	3.736458e+000
8.600000000000005e-001	3.733765e+000	3.733765e+000
8.700000000000006e-001	3.731054e+000	3.731054e+000
8.800000000000006e-001	3.728327e+000	3.728327e+000
8.900000000000006e-001	3.725583e+000	3.725583e+000
9.000000000000006e-001	3.722822e+000	3.722822e+000
9.100000000000006e-001	3.720045e+000	3.720045e+000
9.200000000000006e-001	3.717251e+000	3.717251e+000
9.300000000000006e-001	3.714440e+000	3.714440e+000
9.400000000000006e-001	3.711613e+000	3.711613e+000
9.500000000000006e-001	3.708770e+000	3.708770e+000
9.600000000000006e-001	3.705911e+000	3.705911e+000
9.700000000000006e-001	3.703035e+000	3.703035e+000
9.800000000000007e-001	3.700143e+000	3.700143e+000
9.900000000000007e-001	3.697235e+000	3.697235e+000
1.000000000000001e+000	3.694310e+000	3.694310e+000
1.010000000000001e+000	3.691370e+000	3.691370e+000
1.020000000000001e+000	3.688414e+000	3.688414e+000
1.030000000000001e+000	3.685442e+000	3.685442e+000
